11.0 52.0 9.0
8.0 54.5 11.0
15.0 64.5 9.5
14.0 52.0 11.5
11.0 64.5 7.0
9.0 54.5 12.5
18.0 64.5 11.5
14.0 64.5 9.0
9.0 52.0 7.5
12.0 52.0 10.0
15.0 52.0 12.5
8.0 42.0 10.5
17.0 64.5 11.0
8.0 67.0 12.0
10.0 64.5 6.5
13.0 52.0 11.0
13.0 64.5 8.5
16.0 64.5 10.5
10.0 52.0 8.5
9.0 42.0 12.0
19.0 64.5 12.5
8.0 54.5 11.5
14.0 52.0 12.0
9.0 64.5 6.0
12.0 64.5 8.0
15.0 64.5 10.0
18.0 64.5 12.0
11.0 52.0 9.5
8.0 52.0 7.0
12.0 52.0 10.5
17.0 64.5 11.5
8.0 67.0 12.5
8.0 42.0 11.0
14.0 64.5 9.5
11.0 64.5 7.5
13.0 52.0 11.5
9.0 42.0 12.5
9.0 52.0 8.0
16.0 64.5 11.0
14.0 52.0 12.5
8.0 54.5 12.0
13.0 64.5 9.0
18.0 64.5 12.5
10.0 52.0 9.0
10.0 64.5 7.0
15.0 64.5 10.5
11.0 52.0 10.0
17.0 64.5 12.0
12.0 52.0 11.0
12.0 64.5 8.5
8.0 42.0 11.5
13.0 52.0 12.0
14.0 64.5 10.0
8.0 54.5 12.5
16.0 64.5 11.5
9.0 64.5 6.5
8.0 52.0 7.5
11.0 64.5 8.0
9.0 52.0 8.5
13.0 64.5 9.5
15.0 64.5 11.0
10.0 52.0 9.5
17.0 64.5 12.5
11.0 52.0 10.5
8.0 42.0 12.0
12.0 52.0 11.5
13.0 52.0 12.5
8.0 64.5 6.0
10.0 64.5 7.5
12.0 64.5 9.0
14.0 64.5 10.5
16.0 64.5 12.0
15.0 64.5 11.5
13.0 64.5 10.0
8.0 42.0 12.5
8.0 52.0 8.0
9.0 52.0 9.0
10.0 52.0 10.0
11.0 52.0 11.0
12.0 52.0 12.0
11.0 64.5 8.5
9.0 64.5 7.0
16.0 64.5 12.5
14.0 64.5 11.0
12.0 64.5 9.5
10.0 64.5 8.0
15.0 64.5 12.0
12.0 52.0 12.5
11.0 52.0 11.5
13.0 64.5 10.5
10.0 52.0 10.5
8.0 64.5 6.5
9.0 52.0 9.5
11.0 64.5 9.0
8.0 52.0 8.5
14.0 64.5 11.5
9.0 64.5 7.5
12.0 64.5 10.0
15.0 64.5 12.5
11.0 52.0 12.0
13.0 64.5 11.0
10.0 52.0 11.0
10.0 64.5 8.5
14.0 64.5 12.0
9.0 52.0 10.0
11.0 64.5 9.5
8.0 52.0 9.0
8.0 64.5 7.0
12.0 64.5 10.5
11.0 52.0 12.5
13.0 64.5 11.5
10.0 52.0 11.5
9.0 64.5 8.0
14.0 64.5 12.5
10.0 64.5 9.0
9.0 52.0 10.5
11.0 64.5 10.0
12.0 64.5 11.0
8.0 52.0 9.5
13.0 64.5 12.0
10.0 52.0 12.0
8.0 64.5 7.5
9.0 52.0 11.0
9.0 64.5 8.5
10.0 64.5 9.5
11.0 64.5 10.5
12.0 64.5 11.5
13.0 64.5 12.5
8.0 52.0 10.0
10.0 52.0 12.5
9.0 52.0 11.5
8.0 64.5 8.0
9.0 64.5 9.0
10.0 64.5 10.0
11.0 64.5 11.0
12.0 64.5 12.0
8.0 52.0 10.5
9.0 52.0 12.0
12.0 64.5 12.5
11.0 64.5 11.5
10.0 64.5 10.5
9.0 64.5 9.5
8.0 52.0 11.0
8.0 64.5 8.5
9.0 52.0 12.5
11.0 64.5 12.0
10.0 64.5 11.0
8.0 52.0 11.5
9.0 64.5 10.0
8.0 64.5 9.0
11.0 64.5 12.5
10.0 64.5 11.5
8.0 52.0 12.0
9.0 64.5 10.5
8.0 64.5 9.5
10.0 64.5 12.0
8.0 52.0 12.5
9.0 64.5 11.0
8.0 64.5 10.0
10.0 64.5 12.5
9.0 64.5 11.5
8.0 64.5 10.5
9.0 64.5 12.0
8.0 64.5 11.0
9.0 64.5 12.5
8.0 64.5 11.5
8.0 64.5 12.0
8.0 64.5 12.5
8.0 62.0 12.5
8.0 49.5 12.5
8.0 62.0 12.0
